id,latitude,longitude,start,end,tot_start,tot_end
431003,36.090300,-86.939800,16:58:13.4,19:53:52.6,18:27:39.3,18:28:38.6
431004,36.170500,-86.601700,16:58:53.6,19:54:16.8,18:27:36.4,18:29:52.3
431005,36.173900,-86.769600,16:58:31.7,19:54:00.5,18:27:22.6,18:29:24.1
431006,36.150200,-86.768900,16:58:32.8,19:54:02.9,18:27:27.3,18:29:23.2
431007,35.997400,-86.797400,16:58:35.8,19:54:15.7,18:28:18.9,18:28:49.1
431008,36.109200,-86.722500,16:58:40.6,19:54:11.5,18:27:39.0,18:29:29.6
431009,36.157600,-86.692800,16:58:42.3,19:54:09.5,18:27:31.4,18:29:36.9
431010,36.126200,-86.772300,16:58:33.4,19:54:05.1,18:27:32.3,18:29:21.3
431011,36.123000,-86.805400,16:58:29.3,19:54:02.2,18:27:31.2,18:29:14.7
431012,36.153500,-86.759400,16:58:33.9,19:54:03.5,18:27:27.3,18:29:25.1
431013,36.189400,-86.687900,16:58:41.6,19:54:06.7,18:27:26.0,18:29:38.4
431014,36.117300,-86.914500,16:58:15.5,19:53:52.3,18:27:28.9,18:28:50.9
431015,36.048000,-86.775600,16:58:36.4,19:54:12.7,18:27:53.5,18:29:11.8
431016,36.143500,-86.883600,16:58:18.3,19:53:52.6,18:27:22.3,18:29:00.9
431017,36.169300,-86.606700,16:58:53.0,19:54:16.5,18:27:36.1,18:29:51.5
431018,36.168100,-86.869900,16:58:19.1,19:53:51.5,18:27:17.1,18:29:05.7
431019,36.236900,-86.794900,16:58:25.8,19:53:51.6,18:27:09.0,18:29:21.4
431020,36.148900,-86.875000,16:58:19.2,19:53:52.9,18:27:21.4,18:29:03.2
431021,36.058900,-86.678200,16:58:48.5,19:54:20.9,18:27:53.3,18:29:34.4
431022,36.291400,-86.722100,16:58:32.9,19:53:53.0,18:27:06.7,18:29:32.9
431023,36.328700,-86.707600,16:58:33.2,19:53:50.6,18:27:03.0,18:29:34.3
431024,36.186300,-86.862500,16:58:19.2,19:53:50.3,18:27:13.6,18:29:08.1
431025,36.013700,-86.785000,16:58:36.7,19:54:15.2,18:28:07.5,18:29:01.0
431026,36.313500,-86.655800,16:58:40.5,19:53:57.1,18:27:10.2,18:29:42.3
431027,36.139700,-86.887400,16:58:18.0,19:53:52.7,18:27:23.2,18:28:59.8
431028,36.230000,-86.840800,16:58:20.2,19:53:48.0,18:27:06.6,18:29:13.5
431029,36.160200,-86.758900,16:58:33.7,19:54:02.9,18:27:26.0,18:29:25.4
431030,36.155700,-86.630000,16:58:50.5,19:54:15.6,18:27:36.6,18:29:47.5
431031,36.126900,-86.902200,16:58:16.7,19:53:52.5,18:27:26.3,18:28:55.1
431032,36.293000,-86.810800,16:58:21.4,19:53:44.4,18:26:58.3,18:29:19.2
431033,36.124400,-86.813000,16:58:28.3,19:54:01.3,18:27:30.5,18:29:13.3
